tool name,flake8_issue_one,flake8_issue_two,flake8_issue_three,bandit_issue_one,bandit_issue_two,bandit_issue_three,bandit_sev_undefined,bandit_sev_low,bandit_sev_med,bandit_sev_high,bandit_conf_undefined,bandit_conf_low,bandit_conf_med,bandit_conf_high,radon_complexity,pylint_rating,bandit_lines
pytorch,E203 whitespace before ':',W503 line break before binary operator,"E731 do not assign a lambda expression, use a def",[B101:assert_used],[B605:start_process_with_a_shell],[B607:start_process_with_partial_path],0.0,37.0,1.0,0.0,0.0,0.0,0.0,38.0,16.81132075471698,5.42,31580
NCRFpp,"E231 missing whitespace after ','",E226 missing whitespace around arithmetic operator,E266 too many leading '#' for block comment,[B101:assert_used],[B403:blacklist],[B301:blacklist],0.0,17.0,1.0,0.0,0.0,0.0,1.0,17.0,16.88235294117647,6.57,2710
SentEval,E226 missing whitespace around arithmetic operator,"E302 expected 2 blank lines, found 1",E117 over-indented,[B101:assert_used],[B403:blacklist],[B301:blacklist],0.0,18.0,3.0,0.0,0.0,0.0,0.0,21.0,,,2035
devol,E128 continuation line under-indented for visual indent,"F632 use ==/!= to compare constant literals (str, bytes, int, float, tuple)",W504 line break after binary operator,[B311:blacklist],,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,,,511
Fabrik,E722 do not use bare 'except',W504 line break after binary operator,E226 missing whitespace around arithmetic operator,[B311:blacklist],[B310:blacklist],[B404:blacklist],0.0,10.0,4.0,3.0,0.0,0.0,1.0,16.0,19.833333333333332,5.47,8486
poincare-embeddings,E203 whitespace before ':',E128 continuation line under-indented for visual indent,F541 f-string is missing placeholders,[B101:assert_used],[B404:blacklist],[B108:hardcoded_tmp_directory],0.0,16.0,1.0,1.0,0.0,0.0,1.0,17.0,,3.93,1170
n,W504 line break after binary operator,E402 module level import not at top of file,F401 'os' imported but unused,[B101:assert_used],[B403:blacklist],[B301:blacklist],0.0,43.0,1.0,0.0,0.0,0.0,0.0,44.0,,5.13,2315
scattertex,W191 indentation contains tabs,E101 indentation contains mixed spaces and tabs,E402 module level import not at top of file,[B101:assert_used],[B110:try_except_pass],[B310:blacklist],0.0,124.0,5.0,0.0,0.0,0.0,0.0,129.0,18.916666666666668,2.01,20378
merlin,E251 unexpected spaces around keyword / parameter equals,E226 missing whitespace around arithmetic operator,"E231 missing whitespace after ','",[B101:assert_used],[B605:start_process_with_a_shell],[B301:blacklist],0.0,186.0,79.0,48.0,0.0,0.0,16.0,297.0,28.126984126984127,3.13,23232
categorical-encodin,E226 missing whitespace around arithmetic operator,E265 block comment should start with '# ',E225 missing whitespace around operator,[B311:blacklist],[B101:assert_used],,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,14.128205128205128,6.34,8007
cloudml-samples,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),E121 continuation line under-indented for hanging indent,[B603:subprocess_without_shell_equals_true],[B108:hardcoded_tmp_directory],[B607:start_process_with_partial_path],0.0,110.0,38.0,3.0,0.0,1.0,29.0,121.0,13.666666666666666,-11.01,22690
ml-cheatshee,"E231 missing whitespace after ','",E226 missing whitespace around arithmetic operator,"E302 expected 2 blank lines, found 1",[B101:assert_used],,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,,1.5,1342
monodepth,"E241 multiple spaces after ','",E221 multiple spaces before operator,"E231 missing whitespace after ','",,,,,,,,,,,,,4.15,
distributed,F811 redefinition of unused 'c' from line 73,F811 redefinition of unused 's' from line 75,F811 redefinition of unused 'a' from line 64,[B101:assert_used],[B311:blacklist],[B403:blacklist],0.0,4739.0,41.0,2.0,0.0,0.0,24.0,4758.0,16.922374429223744,,62473
Autopilot-TensorFlow,E265 block comment should start with '# ',"E231 missing whitespace after ','",E111 indentation is not a multiple of four,[B404:blacklist],[B607:start_process_with_partial_path],[B603:subprocess_without_shell_equals_true],0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,,-1.72,188
pygcn,W292 no newline at end of file,F403 'from .layers import *' used; unable to detect undefined names,F401 '.layers.*' imported but unused,,,,,,,,,,,,,,
lifelines,W503 line break before binary operator,"F405 'List' may be undefined, or defined from star imports: typing","E731 do not assign a lambda expression, use a def",[B101:assert_used],[B301:blacklist],[B403:blacklist],0.0,551.0,7.0,0.0,0.0,0.0,0.0,558.0,15.24,,20971
sentiment-discovery,E226 missing whitespace around arithmetic operator,"E302 expected 2 blank lines, found 1",E127 continuation line over-indented for visual indent,[B101:assert_used],[B603:subprocess_without_shell_equals_true],[B307:blacklist],0.0,45.0,8.0,0.0,0.0,0.0,1.0,52.0,21.47826086956522,5.21,7347
HyperGAN,E226 missing whitespace around arithmetic operator,F821 undefined name 'tf',E111 indentation is not a multiple of four,[B311:blacklist],[B101:assert_used],[B602:subprocess_popen_with_shell_equals_true],0.0,89.0,1.0,6.0,0.0,0.0,1.0,95.0,19.2,,19034
ai-chatbot-framework,"E302 expected 2 blank lines, found 1",E402 module level import not at top of file,W504 line break after binary operator,[B106:hardcoded_password_funcarg],[B112:try_except_continue],[B101:assert_used],0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,,5.12,1832
mne-python,E221 multiple spaces before operator,W504 line break after binary operator,"E241 multiple spaces after ','",[B101:assert_used],[B110:try_except_pass],[B403:blacklist],0.0,5186.0,34.0,1.0,0.0,1.0,2.0,5218.0,19.272959183673468,7.33,191114
GPy,E226 missing whitespace around arithmetic operator,"E231 missing whitespace after ','",E265 block comment should start with '# ',[B101:assert_used],[B110:try_except_pass],[B307:blacklist],0.0,419.0,21.0,0.0,0.0,0.0,0.0,440.0,15.2,,41940
deep-person-reid,E261 at least two spaces before inline comment,W293 blank line contains whitespace,E226 missing whitespace around arithmetic operator,[B101:assert_used],[B311:blacklist],[B102:exec_used],0.0,114.0,4.0,1.0,0.0,0.0,0.0,119.0,13.066666666666666,5.82,16233
DLTK,E402 module level import not at top of file,F401 'tensorflow' imported but unused,,[B101:assert_used],[B605:start_process_with_a_shell],[B108:hardcoded_tmp_directory],0.0,48.0,13.0,12.0,0.0,0.0,9.0,64.0,,,3962
pgmpy,W503 line break before binary operator,E203 whitespace before ':',"F405 'chi_square' may be undefined, or defined from star imports: pgmpy.estimators.CITests",[B101:assert_used],[B405:blacklist],[B410:blacklist],0.0,25.0,5.0,0.0,0.0,1.0,0.0,29.0,14.945454545454545,,37198
pytorch_geometric,W503 line break before binary operator,W504 line break after binary operator,F811 redefinition of unused 'test_dna_conv' from line 6,[B101:assert_used],[B311:blacklist],[B403:blacklist],0.0,1945.0,13.0,0.0,0.0,0.0,3.0,1955.0,18.06122448979592,4.92,33093
f_une,E265 block comment should start with '# ',W291 trailing whitespace,W293 blank line contains whitespace,[B101:assert_used],[B607:start_process_with_partial_path],[B603:subprocess_without_shell_equals_true],0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,,4.34,1141
deepgaze,E265 block comment should start with '# ',W291 trailing whitespace,"E231 missing whitespace after ','",[B311:blacklist],,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,17.636363636363637,,4889
hyperopt-sklearn,"E302 expected 2 blank lines, found 1",E128 continuation line under-indented for visual indent,E265 block comment should start with '# ',[B101:assert_used],[B403:blacklist],,0.0,41.0,0.0,0.0,0.0,0.0,0.0,41.0,,5.95,3251
nolearn,E123 closing bracket does not match indentation of opening bracket's line,E741 ambiguous variable name 'l',W504 line break after binary operator,[B101:assert_used],[B403:blacklist],[B102:exec_used],0.0,170.0,6.0,0.0,0.0,0.0,1.0,175.0,,,4293
deepvoice3_pytorch,E101 indentation contains mixed spaces and tabs,E111 indentation is not a multiple of four,E266 too many leading '#' for block comment,[B101:assert_used],[B604:any_other_function_with_shell_equals_true],[B404:blacklist],0.0,85.0,53.0,3.0,0.0,53.0,0.0,88.0,23.375,,5799
f-coreml,E111 indentation is not a multiple of four,E251 unexpected spaces around keyword / parameter equals,"E231 missing whitespace after ','",[B101:assert_used],[B108:hardcoded_tmp_directory],[B310:blacklist],0.0,61.0,2.0,1.0,0.0,0.0,1.0,63.0,21.275862068965516,-3.17,5852
3D-R2N2,E221 multiple spaces before operator,E226 missing whitespace around arithmetic operator,W504 line break after binary operator,[B101:assert_used],[B607:start_process_with_partial_path],[B603:subprocess_without_shell_equals_true],0.0,14.0,2.0,0.0,0.0,0.0,1.0,15.0,,6.95,2742
OpenKE,W191 indentation contains tabs,E251 unexpected spaces around keyword / parameter equals,"E231 missing whitespace after ','",[B311:blacklist],,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,3563
BicycleGAN,,,,[B101:assert_used],[B311:blacklist],[B605:start_process_with_a_shell],0.0,9.0,1.0,2.0,0.0,0.0,0.0,12.0,,4.52,2355
deep-siamese-text-similarity,"E231 missing whitespace after ','",E225 missing whitespace around operator,E226 missing whitespace around arithmetic operator,[B311:blacklist],,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,3.54,619
TensorFlow-cn,W292 no newline at end of file,E116 unexpected indentation (comment),E128 continuation line under-indented for visual indent,[B311:blacklist],[B605:start_process_with_a_shell],[B607:start_process_with_partial_path],0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,,3.35,1488
MobileNet-Caffe,,,,[B307:blacklist],,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,4.67,50
crnn.pytorch,,,,[B101:assert_used],[B311:blacklist],,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,,,698
hinc,E704 multiple statements on one line (def),E203 whitespace before ':',W503 line break before binary operator,[B101:assert_used],[B102:exec_used],[B110:try_except_pass],0.0,757.0,2.0,0.0,0.0,0.0,0.0,759.0,16.586206896551722,4.8,13540
pytorch-summary,"E302 expected 2 blank lines, found 1",W503 line break before binary operator,W504 line break after binary operator,,,,,,,,,,,,,4.66,
bilm-tf,E128 continuation line under-indented for visual indent,E126 continuation line over-indented for hanging indent,W391 blank line at end of file,[B101:assert_used],[B105:hardcoded_password_string],,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,,7.32,2735
bayeslite,E128 continuation line under-indented for visual indent,E111 indentation is not a multiple of four,"E302 expected 2 blank lines, found 1",[B101:assert_used],[B608:hardcoded_sql_expressions],[B110:try_except_pass],0.0,1119.0,49.0,1.0,0.0,49.0,0.0,1120.0,24.37878787878788,2.91,26673
PGPortfolio,E226 missing whitespace around arithmetic operator,"E231 missing whitespace after ','",E225 missing whitespace around operator,[B101:assert_used],[B608:hardcoded_sql_expressions],[B310:blacklist],0.0,8.0,9.0,0.0,0.0,7.0,1.0,9.0,12.625,,3591
efficient_densenet_pytorch,,,,[B101:assert_used],,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,2.97,357
PyTorch-YOLOv3,W291 trailing whitespace,"E302 expected 2 blank lines, found 1","E231 missing whitespace after ','",[B101:assert_used],[B311:blacklist],,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,,2.38,1421
TensorFlow-Object-Detection-API-Tutorial-Train-Multiple-Objects-Windows-10,E266 too many leading '#' for block comment,"E231 missing whitespace after ','",E111 indentation is not a multiple of four,[B405:blacklist],[B314:blacklist],,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,,-0.22,344
pytorch-generative-adversarial-networks,"E302 expected 2 blank lines, found 1",E111 indentation is not a multiple of four,E265 block comment should start with '# ',,,,,,,,,,,,,4.33,
DeepMoj,E402 module level import not at top of file,F401 'example_helper' imported but unused,W605 invalid escape sequence '\.',[B101:assert_used],[B403:blacklist],[B301:blacklist],0.0,65.0,3.0,1.0,0.0,0.0,0.0,69.0,14.333333333333334,5.81,2966
flownet2-pytorch,"E231 missing whitespace after ','",E251 unexpected spaces around keyword / parameter equals,E122 continuation line missing indentation or outdented,[B101:assert_used],[B311:blacklist],[B404:blacklist],0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,,1.1,2195
vaex,W191 indentation contains tabs,E226 missing whitespace around arithmetic operator,E101 indentation contains mixed spaces and tabs,[B101:assert_used],[B307:blacklist],[B306:blacklist],0.0,2947.0,124.0,12.0,0.0,1.0,2.0,3080.0,19.923076923076923,1.02,58150
Recipes,"E231 missing whitespace after ','",E226 missing whitespace around arithmetic operator,E251 unexpected spaces around keyword / parameter equals,[B310:blacklist],[B101:assert_used],[B403:blacklist],0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,15.0,2.53,2908
Dragonfire,E402 module level import not at top of file,E221 multiple spaces before operator,E701 multiple statements on one line (colon),[B101:assert_used],[B311:blacklist],[B603:subprocess_without_shell_equals_true],0.0,129.0,7.0,1.0,0.0,0.0,6.0,131.0,28.866666666666667,,5266
waveglow,E226 missing whitespace around arithmetic operator,"E231 missing whitespace after ','","E302 expected 2 blank lines, found 1",[B101:assert_used],[B103:set_bad_file_permissions],[B404:blacklist],0.0,12.0,3.0,0.0,0.0,0.0,0.0,15.0,,6.1,902
deepspeech.pytorch,E226 missing whitespace around arithmetic operator,E131 continuation line unaligned for hanging indent,E402 module level import not at top of file,[B101:assert_used],[B311:blacklist],[B605:start_process_with_a_shell],0.0,33.0,3.0,8.0,0.0,0.0,2.0,42.0,,,3004
MobileNet-SSD,E111 indentation is not a multiple of four,"E231 missing whitespace after ','",W291 trailing whitespace,[B101:assert_used],,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,,-0.73,947
emporal-segment-networks,E226 missing whitespace around arithmetic operator,E402 module level import not at top of file,F821 undefined name 'xrange',[B101:assert_used],[B605:start_process_with_a_shell],,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,11.5,4.86,960
ensornets,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),W504 line break after binary operator,[B101:assert_used],[B311:blacklist],[B405:blacklist],0.0,56.0,1.0,0.0,0.0,0.0,0.0,57.0,18.833333333333332,0.44,12032
InfoGAN,W292 no newline at end of file,F821 undefined name 'xrange',E303 too many blank lines (2),[B101:assert_used],,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,,,1064
anago,W605 invalid escape sequence '\s',W605 invalid escape sequence '\[',W605 invalid escape sequence '\]',[B101:assert_used],[B605:start_process_with_a_shell],[B607:start_process_with_partial_path],0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,,,2057
uTensor,E111 indentation is not a multiple of four,W291 trailing whitespace,E225 missing whitespace around operator,[B301:blacklist],[B403:blacklist],[B701:jinja2_autoescape_false],0.0,3.0,8.0,2.0,0.0,0.0,0.0,13.0,,2.92,1238
ottertune,E265 block comment should start with '# ',"E302 expected 2 blank lines, found 1",E226 missing whitespace around arithmetic operator,[B101:assert_used],[B311:blacklist],[B607:start_process_with_partial_path],0.0,144.0,8.0,1.0,0.0,0.0,6.0,147.0,18.425,6.74,14674
kur,E101 indentation contains mixed spaces and tabs,W191 indentation contains tabs,E117 over-indented,[B101:assert_used],[B403:blacklist],[B506:yaml_load],0.0,60.0,12.0,1.0,0.0,0.0,2.0,71.0,17.26086956521739,,17245
alon,"F405 'eq_' may be undefined, or defined from star imports: ., .fixtures","F405 'eq_' may be undefined, or defined from star imports: ..","F405 'eq_' may be undefined, or defined from star imports: .",[B410:blacklist],[B110:try_except_pass],[B101:assert_used],0.0,11.0,1.0,0.0,0.0,0.0,0.0,12.0,,-3.13,3045
modin,W503 line break before binary operator,E402 module level import not at top of file,E203 whitespace before ':',[B101:assert_used],[B603:subprocess_without_shell_equals_true],[B607:start_process_with_partial_path],0.0,503.0,26.0,1.0,0.0,9.0,6.0,515.0,18.366197183098592,,56014
wavene,"E231 missing whitespace after ','",F841 local variable 'fragment_length' is assigned to but never used,F841 local variable 'nb_filters' is assigned to but never used,[B101:assert_used],,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,-6.58,645
MAgen,E226 missing whitespace around arithmetic operator,E221 multiple spaces before operator,E241 multiple spaces after ':',[B311:blacklist],[B101:assert_used],[B307:blacklist],0.0,42.0,12.0,5.0,0.0,0.0,0.0,59.0,20.428571428571427,6.31,6755
chainercv,E121 continuation line under-indented for hanging indent,E251 unexpected spaces around keyword / parameter equals,W605 invalid escape sequence '\_',[B101:assert_used],[B311:blacklist],[B310:blacklist],0.0,172.0,13.0,0.0,0.0,0.0,0.0,185.0,17.390243902439025,,39455
GPflow,W503 line break before binary operator,E402 module level import not at top of file,"E231 missing whitespace after ','",[B101:assert_used],[B108:hardcoded_tmp_directory],[B403:blacklist],0.0,250.0,2.0,0.0,0.0,0.0,1.0,251.0,16.0,,17745
snake,E122 continuation line missing indentation or outdented,E127 continuation line over-indented for visual indent,E502 the backslash is redundant between brackets,[B101:assert_used],[B311:blacklist],,0.0,169.0,0.0,0.0,0.0,0.0,0.0,169.0,20.071428571428573,,2407
rankin,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),W504 line break after binary operator,[B101:assert_used],[B108:hardcoded_tmp_directory],[B106:hardcoded_password_funcarg],0.0,13.0,2.0,0.0,0.0,0.0,3.0,12.0,,-1.51,21813
noreward-rl,E226 missing whitespace around arithmetic operator,"E302 expected 2 blank lines, found 1",E127 continuation line over-indented for visual indent,[B101:assert_used],[B605:start_process_with_a_shell],,0.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,,5.65,2792
homework,E226 missing whitespace around arithmetic operator,"E302 expected 2 blank lines, found 1",W291 trailing whitespace,[B101:assert_used],[B403:blacklist],[B108:hardcoded_tmp_directory],0.0,95.0,9.0,0.0,0.0,0.0,8.0,96.0,18.1,4.44,7684
extClassifier,E402 module level import not at top of file,"E231 missing whitespace after ','",W293 blank line contains whitespace,,,,,,,,,,,,,,
conceptnet5,W503 line break before binary operator,W291 trailing whitespace,E251 unexpected spaces around keyword / parameter equals,[B101:assert_used],[B603:subprocess_without_shell_equals_true],[B404:blacklist],0.0,154.0,3.0,2.0,0.0,0.0,3.0,156.0,16.678571428571427,,11291
deepvarian,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),E125 continuation line with same indent as next logical line,[B108:hardcoded_tmp_directory],[B101:assert_used],[B404:blacklist],0.0,20.0,25.0,6.0,0.0,0.0,25.0,26.0,16.642857142857142,-3.01,41846
webdnn,F541 f-string is missing placeholders,W605 invalid escape sequence '\i',W605 invalid escape sequence '\s',[B101:assert_used],[B404:blacklist],[B607:start_process_with_partial_path],0.0,842.0,0.0,3.0,0.0,0.0,0.0,845.0,16.517241379310345,-2.09,39417
attention-is-all-you-need-pytorch,E226 missing whitespace around arithmetic operator,E265 block comment should start with '# ',W291 trailing whitespace,[B101:assert_used],[B403:blacklist],[B301:blacklist],0.0,13.0,4.0,0.0,0.0,0.0,0.0,17.0,,6.51,1282
lore,E111 indentation is not a multiple of four,E402 module level import not at top of file,E251 unexpected spaces around keyword / parameter equals,[B603:subprocess_without_shell_equals_true],[B608:hardcoded_sql_expressions],[B101:assert_used],0.0,64.0,19.0,2.0,0.0,4.0,14.0,67.0,13.588235294117647,,8582
pointne,"E231 missing whitespace after ','",E226 missing whitespace around arithmetic operator,W293 blank line contains whitespace,[B101:assert_used],[B605:start_process_with_a_shell],[B404:blacklist],0.0,14.0,0.0,7.0,0.0,0.0,0.0,21.0,,5.26,4119
DeblurGAN,W191 indentation contains tabs,E101 indentation contains mixed spaces and tabs,E226 missing whitespace around arithmetic operator,[B101:assert_used],[B311:blacklist],,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,,-0.32,1819
pytorch-semse,E121 continuation line under-indented for hanging indent,E251 unexpected spaces around keyword / parameter equals,E123 closing bracket does not match indentation of opening bracket's line,[B101:assert_used],[B311:blacklist],[B506:yaml_load],0.0,47.0,2.0,0.0,0.0,0.0,0.0,49.0,,5.62,10341
polyaxon,W504 line break after binary operator,E127 continuation line over-indented for visual indent,W503 line break before binary operator,[B101:assert_used],[B108:hardcoded_tmp_directory],[B105:hardcoded_password_string],0.0,6347.0,87.0,1.0,0.0,2.0,107.0,6326.0,17.61480075901328,4.21,167546
angen,E111 indentation is not a multiple of four,F821 undefined name 'd',E114 indentation is not a multiple of four (comment),[B101:assert_used],[B311:blacklist],[B102:exec_used],0.0,99.0,1.0,0.0,0.0,0.0,0.0,100.0,21.470588235294116,-7.19,7611
enerating-reviews-discovering-sentimen,E226 missing whitespace around arithmetic operator,E228 missing whitespace around modulo operator,E225 missing whitespace around operator,,,,,,,,,,,,,0.25,
nevergrad,W503 line break before binary operator,E203 whitespace before ':',"F405 'Powell' may be undefined, or defined from star imports: .differentialevolution, .es, .oneshot, .recastlib",[B101:assert_used],[B403:blacklist],[B301:blacklist],0.0,862.0,8.0,1.0,0.0,0.0,0.0,871.0,16.666666666666668,,22767
faster_rcnn_pytorch,"E231 missing whitespace after ','",E203 whitespace before ':',E226 missing whitespace around arithmetic operator,[B101:assert_used],[B506:yaml_load],,0.0,17.0,1.0,0.0,0.0,0.0,0.0,18.0,,2.15,7813
pytorch-beginner,E226 missing whitespace around arithmetic operator,F401 'torchvision' imported but unused,"E203 whitespace before ','",[B101:assert_used],[B311:blacklist],,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,,3.75,1509
finmarketpy,E128 continuation line under-indented for visual indent,E251 unexpected spaces around keyword / parameter equals,E266 too many leading '#' for block comment,[B110:try_except_pass],[B403:blacklist],[B301:blacklist],0.0,30.0,1.0,0.0,0.0,0.0,1.0,30.0,19.59090909090909,,7164
DeepLearningImplementations,"E231 missing whitespace after ','",E402 module level import not at top of file,E226 missing whitespace around arithmetic operator,[B101:assert_used],[B403:blacklist],[B301:blacklist],0.0,76.0,2.0,0.0,0.0,0.0,0.0,78.0,13.818181818181818,3.37,8665
orchdiffeq,"E731 do not assign a lambda expression, use a def",E402 module level import not at top of file,W293 blank line contains whitespace,[B101:assert_used],,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,,4.19,3338
sacred,W503 line break before binary operator,E741 ambiguous variable name 'l',F841 local variable 'a' is assigned to but never used,[B101:assert_used],[B108:hardcoded_tmp_directory],[B603:subprocess_without_shell_equals_true],0.0,1141.0,20.0,0.0,0.0,0.0,13.0,1148.0,14.15,,14028
pytorch-a2c-ppo-acktr,W504 line break after binary operator,W293 blank line contains whitespace,"E731 do not assign a lambda expression, use a def",[B101:assert_used],[B108:hardcoded_tmp_directory],,0.0,8.0,1.0,0.0,0.0,0.0,1.0,8.0,,5.61,1582
adversarial,E251 unexpected spaces around keyword / parameter equals,E128 continuation line under-indented for visual indent,E402 module level import not at top of file,[B101:assert_used],,,0.0,58.0,0.0,0.0,0.0,0.0,0.0,58.0,17.4,2.87,3755
decaNLP,W291 trailing whitespace,E128 continuation line under-indented for visual indent,W293 blank line contains whitespace,[B101:assert_used],[B106:hardcoded_password_funcarg],[B404:blacklist],0.0,98.0,6.0,1.0,0.0,1.0,18.0,86.0,19.85185185185185,5.14,7035
plotnine,E226 missing whitespace around arithmetic operator,W503 line break before binary operator,W504 line break after binary operator,[B101:assert_used],[B404:blacklist],[B603:subprocess_without_shell_equals_true],0.0,541.0,2.0,0.0,0.0,0.0,0.0,543.0,14.1875,,26797
bert-as-service,W504 line break after binary operator,"E731 do not assign a lambda expression, use a def",E261 at least two spaces before inline comment,[B101:assert_used],[B107:hardcoded_password_default],[B102:exec_used],0.0,11.0,3.0,0.0,0.0,0.0,5.0,9.0,19.625,5.01,3256
coach,E252 missing whitespace around parameter equals,E402 module level import not at top of file,E226 missing whitespace around arithmetic operator,[B101:assert_used],[B403:blacklist],[B404:blacklist],0.0,620.0,12.0,6.0,0.0,0.0,2.0,636.0,17.941176470588236,1.73,30745
deepwalk,E111 indentation is not a multiple of four,E265 block comment should start with '# ',W293 blank line contains whitespace,[B101:assert_used],,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,658
deepchem,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),E402 module level import not at top of file,[B101:assert_used],[B603:subprocess_without_shell_equals_true],[B108:hardcoded_tmp_directory],0.0,1878.0,20.0,12.0,0.0,0.0,14.0,1896.0,15.809090909090909,,79385
hmmlearn,W503 line break before binary operator,W504 line break after binary operator,E402 module level import not at top of file,[B101:assert_used],,,0.0,73.0,0.0,0.0,0.0,0.0,0.0,73.0,,6.3,2495
